                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.362,                0.74911,                 1.1356,                0.92266,                 0.8314,                 0.9206,                0.57687,                 1.3521,                0.65668,                  1.167,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.3735,                0.75805,                 1.1423,                0.90318,                0.85347,                0.91845,                 0.5774,                 1.3373,                0.64622,                 1.1668,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.3655,                0.75363,                 1.1366,                0.90962,                0.85324,                0.91565,                0.57199,                 1.3543,                0.66506,                  1.174,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.3684,                0.75071,                 1.1426,                0.91541,                 0.8463,                0.91827,                0.56314,                 1.3934,                0.66692,                 1.1867,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.3623,                 0.7483,                 1.1358,                0.91398,                0.84732,                0.92002,                0.57171,                 1.3626,                 0.6546,                 1.1673,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.3609,                0.73925,                 1.1292,                0.91294,                0.86104,                0.92757,                0.55852,                 1.4084,                0.66975,                 1.1886,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.3492,                0.73965,                   1.13,                0.91965,                 0.8648,                0.92757,                0.57329,                 1.3713,                0.64697,                 1.1784,              0.0010069,              0.0010069,              0.0010069
                     42,                  1.353,                0.73333,                 1.1367,                0.90292,                 0.8567,                0.92044,                0.56361,                 1.3839,                0.66653,                 1.1887,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.3475,                0.73125,                 1.1273,                 0.9128,                0.84978,                0.92023,                 0.5617,                 1.3904,                0.66275,                 1.1817,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.3368,                0.72644,                 1.1275,                0.93009,                 0.8625,                0.92758,                0.58057,                 1.3333,                0.64096,                 1.1603,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.3325,                0.71342,                 1.1251,                0.91304,                0.85689,                0.92368,                0.58698,                 1.3237,                 0.6343,                 1.1668,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.3473,                0.73457,                 1.1328,                0.90579,                0.85979,                0.91877,                0.56247,                 1.3726,                0.65231,                 1.1785,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.3369,                 0.7144,                 1.1234,                0.91563,                0.85606,                0.91772,                0.57783,                 1.3624,                0.64746,                 1.1755,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.3311,                0.71179,                 1.1177,                0.92773,                0.84868,                0.92059,                0.57055,                 1.3767,                0.65892,                 1.1795,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.3417,                0.72236,                 1.1309,                0.91772,                0.86259,                0.92444,                0.56838,                 1.3533,                0.64878,                 1.1671,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.3245,                0.71425,                 1.1276,                0.93171,                0.84654,                0.92236,                0.57955,                 1.3513,                0.64687,                 1.1702,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.3234,                0.70227,                 1.1164,                 0.9093,                0.85804,                0.92224,                0.57854,                 1.3398,                0.63498,                 1.1647,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.3151,                0.70689,                 1.1183,                0.92008,                0.85178,                0.92315,                0.56876,                 1.3644,                0.64033,                 1.1743,             0.00082533,             0.00082533,             0.00082533
                     53,                  1.321,                0.70635,                 1.1195,                0.92779,                  0.857,                0.92564,                0.58632,                 1.3398,                0.63443,                 1.1671,             0.00080883,             0.00080883,             0.00080883
